ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5037805AA,ROCKER ARM AND PIVOT Valve Includes Pedestal,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,,,Exhaust,available,95.6,64.29,3.7 x 2.6 x 1.8 inches,1.20 Pounds,/parts/mopar-arm-valve~5037805aa.html
2,6508789AA,BOLT Hex Flange Head M8x1.25x37.50,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,,,,available,2.45,1.69,1.6 x 0.6 x 0.6 inches,0.40 Pounds,/parts/mopar-bolt-hex-flange-head~6508789aa.html
3,5037847AA,SEAL Valve Guide,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,20,1,,,,available,15.55,10.72,2.1 x 2.1 x 1.2 inches,0.50 Pounds,/parts/mopar-seal-valve-guide~5037847aa.html
4,5037720AA,SPRING Valve,,"2013, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,20,1,5038762AA,,,available,15.05,5.4,2.2 x 1.3 x 1.3 inches,0.60 Pounds,/parts/mopar-spring-valve~5037720aa.html
5,53021676AB,RETAINER Valve Spring,,"2013-2017, 2008-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,20,1,,,,available,6.5,4.49,1.1 x 1.1 x 0.6 inches,0.60 Pounds,/parts/mopar-retainer-valve-spring~53021676ab.html
6,53010515AA,LOCK Valve Spring Retainer,,"2013-2017, 2008-2010","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,40,1,,,,available,4.7,3.2,0.5 x 0.6 x 0.6 inches,0.40 Pounds,/parts/mopar-retainer-valve-spring-retainer~53010515aa.html
7,5037808AA,PUSH ROD Valve,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,20,1,,,,available,7.8,2.91,12.2 x 6.3 x 0.6 inches,0.50 Pounds,/parts/mopar-pushrod-valve~5037808aa.html
8,6508877AA,BOLT Hex Head M6x1.00x25.00,,2008-2010,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,,,,discontinued,,,,,/parts/mopar-bolt-hex-head~6508877aa.html
9,5037807AA,YOKE Tappet Aligning,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,,,,available,6.15,4.19,3.1 x 2.5 x 1.9 inches,0.50 Pounds,/parts/mopar-retainer-tappet-aligning~5037807aa.html
10,5037812AA,TAPPET Hyd. Roller,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,20,1,,,,available,16.45,11.42,3.8 x 2.6 x 1.8 inches,0.80 Pounds,/parts/mopar-tappet-hyd-roller~5037812aa.html
11,5037819AB,PLATE Camshaft Thrust,,2008,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,5045560AA,,,available,150,101.52,6.1 x 5.7 x 0.5 inches,1.50 Pounds,/parts/mopar-gear-camshaft-thrust~5037819ab.html
12,6104142AA,SCREW Pan Head M6x1.00x16.00,,"2013-2017, 2008","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,8,1,,5114355AA,,available,12.35,8.56,1.1 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-screw-pan-head~6104142aa.html
14,5037698AA,CAMSHAFT Engine,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,,,,,,discontinued,,,28.6 x 2.6 x 2.5 inches,16.90 Pounds,/parts/mopar-camshaft-engine~5037698aa.html
15,5037719AB,VALVE Exhaust Standard,,2008-2010,"ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,5037719AC,,,available,81.95,66.83,6.1 x 3.1 x 0.3 inches,0.60 Pounds,/parts/mopar-valve-exhaust~5037719ab.html
16,5037718AA,VALVE Intake Standard,,"2013-2017, 2008-2010","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.4L,10,1,,,,available,139,65.34,5.7 x 2.3 x 2.3 inches,0.70 Pounds,/parts/mopar-valve-intake~5037718aa.html
