ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5264927AC,LINE A/C Discharge,,,,,,,,discontinued,,,/parts/mopar-line-a-c-discharge~5264927ac.html
2,5093080AA,TRANSDUCER Air Conditioning,,,,,,5073617AA,,available,84.7,57.15,/parts/mopar-transducer-air-conditioning~5093080aa.html
3,5011346AA,VALVE CORE A/C Line,,,,,,5003461AA,,available,31.95,22.14,/parts/mopar-valve-cor-service-port~5011346aa.html
4,5080519AA,O RING A/C Line,,,,,,,,available,13.5,9.44,/parts/mopar-o-ring-a-c-line~5080519aa.html
5,5093079AA,CLIP A/C Line,,,,,,,,discontinued,,,/parts/mopar-clip-a-c-discharge-line~5093079aa.html
6,5072868AA,O RING A/C Line,,,,,,,,available,9.75,6.76,/parts/mopar-o-ring-a-c-line~5072868aa.html
7,5264988AD,LINE A/C Suction,,,,,,68545796AA,,available,200,169.2,/parts/mopar-line-a-c-suction~5264988ad.html
8,5011346AA,VALVE CORE A/C Line,,,,,,5003461AA,,available,31.95,22.14,/parts/mopar-valve-cor-service-port~5011346aa.html
9,5019242AA,CAP A/C Check Valve,,,,,,,,available,6.7,4.54,/parts/mopar-cap-a-c-charge-valve~5019242aa.html
10,5093081AA,CLIP A/C Line,,,,3,1,,,available,12.15,9.55,/parts/mopar-clip-a-c-line~5093081aa.html
11,5072893AA,O RING A/C Line,,,,2,1,,,available,10.1,6.99,/parts/mopar-o-ring-a-c-line~5072893aa.html
12,5264926AD,LINE A/C Liquid,,,,,,5264926AE,After 01-08-04,available,155,120.7,/parts/mopar-line-a-c-liquid~5264926ad.html
14,5011346AA,VALVE CORE A/C Line,,,,,,5003461AA,,available,31.95,22.14,/parts/mopar-valve-cor-service-port~5011346aa.html
15,5072866AA,CAP A/C Charge Valve,,,,,,,,available,5.75,3.9,/parts/mopar-cap-a-c-charge-valve~5072866aa.html
16,4796565,O RING A/C Line,,,,,,,,available,9.75,6.76,/parts/mopar-o-ring-a-c-line~4796565.html
17,5093078AA,CLIP A/C Line,,,,,,,,available,22.3,18.52,/parts/mopar-clip-a-c-line~5093078aa.html
18,5015603AA,O RING A/C Line,,,,,,,,available,4.15,2.8,/parts/mopar-o-ring-a-c-line~5015603aa.html
19,5264928AA,LINE A/C Suction,,,,,,,,available,44,37.28,/parts/mopar-line-a-c-suction~5264928aa.html
20,5072893AA,O RING A/C Line,,,,2,1,,,available,10.1,6.99,/parts/mopar-o-ring-a-c-line~5072893aa.html
22,5264990AD,ACCUMULATOR Air Conditioning,,,,,,,After 01-08-04,available,139,107.1,/parts/mopar-accumulat-air-conditioning~5264990ad.html
23,5290274AA,SWITCH A/C Low Pressure Cut Off,,,,,,,Up to 01-08-04,available,33.14,26.04,/parts/mopar-switch-a-c-low-pressure-cut-off~5290274aa.html
24,5096245AA,O RING A/C Line,,,,,,,,available,7.55,5.9,/parts/mopar-o-ring~5096245aa.html
25,6501400,SCREW Flange Head M10x1.5x65 Accumulator attaching,,,,2,1,,,available,11.17,8.78,/parts/mopar-bolt~6501400.html
27,5264991AB,CONDENSER Air Conditioning,,,,,,5264991AC,,available,658,552.9,/parts/mopar-condenser-air-conditioning~5264991ab.html
,5142933AA,ORIFICE Liquid Line,,,,,,,After 01-08-04,available,21.7,16.83,/parts/mopar-orifice-liquid-line~5142933aa.html
,154910AA,SCREW A/C Line attach to Frame,,,,3,1,,,available,8,5.59,/parts/mopar-screw-hex-flange-head~154910aa.html
,6035877AA,SCREW AND WASHER Hex Head .25-20x.875,,,,2,1,,,available,3.4,2.27,/parts/mopar-screw-hex-head~6035877aa.html
,6101982,SCREW Line to Accumulator,,,,2,1,,,available,23.6,16.48,/parts/mopar-screw-hex-head~6101982.html
