ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5093237AA,HOUSING A/C And Heater,,,,,,,,discontinued,,,/parts/mopar-housing-a-c-and-heater~5093237aa.html
4,5093244AA,HOUSING Air Inlet,,,,,,,,discontinued,,,/parts/mopar-housing-air-inlet~5093244aa.html
5,5019631AA,SERVO A/C Temperature Door,,,,4,1,,,unavailable,,,/parts/mopar-servp-a-c-temperature-door~5019631aa.html
7,5093245AA,SEAL KIT A/C And Heater Unit,,,,,,5093245AC,,available,53.25,37.22,/parts/mopar-seal-pkg-a-c-and-heater-unit~5093245aa.html
8,5093246AA,EVAPORATOR Air Conditioning,,,,,,,,available,417,337.85,/parts/mopar-evaporato-air-conditioning~5093246aa.html
11,5093247AA,CORE Heater,,,,,,5093247AB,,available,206,162.43,/parts/mopar-core-heater~5093247aa.html
12,4720533,SCREW Heater Housing,,,,3,1,,,available,6,4.08,/parts/mopar-screw~4720533.html
13,5093248AA,MOTOR Blower with Wheel,,,,,,,,discontinued,,,/parts/mopar-motor-blower-with-wheel~5093248aa.html
15,5014212AA,RESISTOR Blower Motor,,,,,,,,available,238,106.68,/parts/mopar-resistor-blower-motor~5014212aa.html
16,5029672AA,WIRING A/C and HEATER,,,,,,,,available,189,126,/parts/mopar-wiring-a-c-and-heater~5029672aa.html
,5029345AA,BRACKET A/C Drain Tube,,,,,,,,discontinued,,,/parts/mopar-bracket-a-c-drain-tube~5029345aa.html
,2837680,CLAMP Blower Motor Wheel,,,,,,,,available,2.35,1.31,/parts/mopar-clamp-blower-motor-wheel~2837680.html
,5104821AA,DRAIN KIT A/C and Heater,,,,,,,,available,37.8,31.4,/parts/mopar-drain-a-c-and-heater~5104821aa.html
,4720533,SCREW Heater Housing,,,,3,1,,,available,6,4.08,/parts/mopar-screw~4720533.html
,6504909AA,STUD,,,,,,,,available,5.4,3.67,/parts/mopar-stud~6504909aa.html
,6101442,U-NUT M6 x 1.00 M6x1.00,,,,2,1,,,available,8.9,6.17,/parts/mopar-nut-m6-x-1-00~6101442.html
