ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,68026795AA,GASKET PACKAGE Engine Upper,,,,,,,,discontinued,,,/parts/mopar-gskt-pkg-engine~68026795aa.html
2,5037734AB,GASKET Cylinder Head,,,,2,1,,,discontinued,,,/parts/mopar-gasket-cylinder-head~5037734ab.html
3,5037827AA,GASKET Cylinder head Cover,,,,,,,,discontinued,,,/parts/mopar-gasket-cylinder-head-cover~5037827aa.html
4,5038094AA,SEAL Intake Manifold,,,,10,1,,,available,13.6,9.38,/parts/mopar-seal-intake-manifold~5038094aa.html
5,5037927AA,GASKET Intake Plenum,,,,,,,,available,61.95,37.71,/parts/mopar-gasket-intake-plenum~5037927aa.html
6,5037703AA,GASKET Exhaust Manifold,,,,2,1,,,available,70.95,49.34,/parts/mopar-manifold-exhaust-manifold~5037703aa.html
7,5038090AA,SEAL Throttle Body to Intake,,,,2,1,,,available,10.1,6.99,/parts/mopar-seal-throttle-body-to-intake~5038090aa.html
8,5037173AA,GASKET Thermostat,,,,,,,,available,39.7,27.61,/parts/mopar-gasket-thermostat~5037173aa.html
9,68026796AA,GASKET PACKAGE Engine Lower,,,,,,,,discontinued,,,/parts/mopar-gskt-pkg-engine~68026796aa.html
10,5037300AA,SEAL Crankshaft Oil Rear,,,,,,,,available,128,54.57,/parts/mopar-seal-crankshaft-oil~5037300aa.html
11,5037056AC,GASKET Crankshaft Rear Oil Seal Retainer,,,,,,,,available,43.35,30.12,/parts/mopar-gasket-crankshaft-rear-oil-seal-re~5037056ac.html
12,5037067AD,GASKET Timing Case Cover,,,,,,,,discontinued,,,/parts/mopar-gasket-timing-case-cover~5037067ad.html
13,5245135,SEAL Crankshaft Oil Front,,,,,,,,available,65.2,45.38,/parts/mopar-seal-crankshaft-oil~5245135.html
14,5037163AF,GASKET Oil Pan,,,,,,,,available,88.45,59.51,/parts/mopar-gasket-oil-pan~5037163af.html
15,5037171AB,GASKET Water Pump,,,,,,,,available,30.55,21.14,/parts/mopar-gasket-water-pump~5037171ab.html
