ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,68026794AB,ENGINE Short Block,,,,,,RL026794AB,,available,13515,11201,/parts/mopar-block-short-block~68026794ab.html
2,6036543AA,PLUG Pipe [.125-27x.310],,,,3,1,,,available,3.4,2.27,/parts/mopar-plug-pipe~6036543aa.html
3,5245055,DOWEL PIN [10MM],,,,2,1,,,available,,14.51,/parts/mopar-dowel-pin~5245055.html
4,6508545AA,STUD Double Ended M12x1.00xM12x1.75x144.00,,,,12,1,,,available,39.2,27.2,/parts/mopar-stud-double-ended~6508545aa.html
5,J4005149,DOWEL PIN .620Dx.50,,,,6,1,,Mounting Main Cap To Cylinder Block,available,15.7,10.83,/parts/mopar-pin~j4005149.html
6,6504410,BOLT Hex Flange Head M10X1.50X55.00,,,,12,1,,,available,5.5,3.79,/parts/mopar-screw-hex-flange-head~6504410.html
8,5037056AC,GASKET Crankshaft Rear Oil Seal Retainer,,,,,,,,available,43.35,30.12,/parts/mopar-gasket-crankshaft-rear-oil-seal-re~5037056ac.html
9,5037300AA,SEAL Crankshaft Oil Rear,,,,,,,,available,128,54.57,/parts/mopar-seal-crankshaft-oil~5037300aa.html
10,5038010AB,RETAINER Crankshaft Rear Oil Seal Includes Gasket And Oil Seal,,,,,,5045562AA,,available,501,338.58,/parts/mopar-seal-crankshaft-rear-oil-seal~5038010ab.html
11,6509056AA,BOLT Hex Head M6x1.00x30.00,,,,8,1,,,available,,14.51,/parts/mopar-bolt-hex-head~6509056aa.html
12,4429678,DOWEL PIN,,,,2,1,,,available,50.95,35.42,/parts/mopar-dowel-pin~4429678.html
13,5037796AA,CONTROL VALVE Oil Exhaust,,,,,,5037796AB,,available,265,214.88,/parts/mopar-valve-oil-exhaust~5037796aa.html
14,6101826,BOLT Hex Head M6x1.00x20.00,,,,,,,,available,8.75,6.06,/parts/mopar-bolt-hex-head~6101826.html
15,4663941AB,PLUG Core [1 Inch Diameter],,,,,,,,available,7.05,4.78,/parts/mopar-plug-core~4663941ab.html
16,4663941AB,PLUG Core [.375-18x.475],,,,,,,,available,7.05,4.78,/parts/mopar-plug-core~4663941ab.html
