ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5LB411VXAF,LEVER Parking Brake,,,,,,,[VV],discontinued,,,
1,5LB411X6AF,LEVER Parking Brake,,,,,,,[R9],discontinued,,,
1,5LB411XYAF,LEVER Parking Brake,,,,,,,[XY],discontinued,,,
1,5LB412VXAF,LEVER Parking Brake,,,,,,,[VX],discontinued,,,
1,5LB412X6AF,LEVER Parking Brake,,,,,,,[X6],discontinued,,,
1,5LB41XR4AF,LEVER Parking Brake,,,,,,,[XR],discontinued,,,/parts/mopar-lever-parking-brake~5lb41xr4af.html
1,5LB41YSAAF,LEVER Parking Brake,,,,,,,[X9],discontinued,,,/parts/mopar-lever-parking-brake~5lb41ysaaf.html
2,6104197AA,BOLT Hex Flange Head M8X1.25X25.00,,,,2,1,,,available,4.3,2.97,/parts/mopar-bolt-hex-flange-head~6104197aa.html
3,5097674AA,NUT Hex M6,,,,,,,,available,15.95,14.51,/parts/mopar-nut-hex~5097674aa.html
5,5181738AD,CABLE Parking Brake,,,,,,,Left Rear,available,104,69.41,/parts/mopar-cable-parking-brake~5181738ad.html
6,6036237AA,SCREW AND WASHER Hex Head .250-14X.750,,,,2,1,,,available,11.4,7.92,/parts/mopar-screw-hex-head~6036237aa.html
7,6104197AA,BOLT Hex Flange Head M8X1.25X25.00,,,,2,1,,,available,4.3,2.97,/parts/mopar-bolt-hex-flange-head~6104197aa.html
8,6105032AA,SCREW Hex Flange Head M5X0.8X20.00,,,,2,1,,,available,3.5,2.39,/parts/mopar-screw-hex-flange-head~6105032aa.html
