ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4642952,"PANEL ASSEMBLY, Door Surround",,,,,,,"1992, Right",discontinued,,,
1,4642953,"PANEL ASSEMBLY, Door Surround",,,,,,,"1992, Left",discontinued,,,
1,4708476,"PANEL ASSEMBLY, Door Surround",,,27,,,,Right (1993-94-95-96),discontinued,,,
1,4708477,"PANEL ASSEMBLY, Door Surround",,,27,,,,Left (1993-94-95-96),discontinued,,,
1,4848682,"PANEL ASSEMBLY, Door Surround",,,29,,,,Right (1993-94-95-96),discontinued,,,
1,4848683,"PANEL ASSEMBLY, Door Surround",,,29,,,,Left (1993-94-95-96),discontinued,,,
2,35022112,SHIM,,,,,,,1.5,discontinued,,,/parts/mopar-shim-fender~35022112.html
2,35022110,SHIM,,,,,,,.50,discontinued,,,
2,35022111,SHIM,,,,,,,1.0,discontinued,,,/parts/mopar-shim-fender~35022111.html
3,4708020,PLUG,,,,8,1,,,discontinued,,,/parts/mopar-plug-door-surround-19mm-hole-5~4708020.html
4,4643726,"PANEL, Sill Outer, P.A.R.",,,,,,,"1992-94-95, Right",discontinued,,,
4,4643727,"PANEL, Sill Outer, P.A.R.",,,,,,,"1992-94-95, Left",discontinued,,,
4,4709040,"PANEL, Sill Outer, P.A.R.",,,,,,,"1993-94-95, EUROPE, Right",discontinued,,,
4,4709041,"PANEL, Sill Outer, P.A.R.",,,,,,,"1993-94-95, EUROPE, Left",discontinued,,,
4,4763640,"PANEL, Sill Outer, P.A.R.",,,,,,,"1996, Right",discontinued,,,
4,4763641,"PANEL, Sill Outer, P.A.R.",,,,,,,"1996, Left",discontinued,,,
6,4373728,"PLUG, Front of Dash",,,,2,1,,,available,12.5,8.74,/parts/mopar-plug~4373728.html
,4708428,"APPLIQUE, Sill Cover Anti Chip",,,,,,,"Front, Right",discontinued,,,/parts/mopar-applique-front-sill~4708428.html
,4708429,"APPLIQUE, Sill Cover Anti Chip",,,,,,,"Front, Left",discontinued,,,/parts/mopar-applique-front-sill~4708429.html
,4708430,"APPLIQUE, Sill Cover Anti Chip",,,,,,,"Center, Right",discontinued,,,/parts/mopar-applique-sill-cvr-anti-chip-cntr-r~4708430.html
,4708431,"APPLIQUE, Sill Cover Anti Chip",,,,,,,"Center, Left",discontinued,,,/parts/mopar-applique-sill-cvr-anti-chip-cntr-r~4708431.html
,4708432,"APPLIQUE, Sill Cover Anti Chip",,,,,,,"Rear, Right",available,54.39,42.75,/parts/mopar-applique-sill-cvr-anti-chip-rr-rt~4708432.html
,4708433,"APPLIQUE, Sill Cover Anti Chip",,,,,,,"Rear, Left",discontinued,,,/parts/mopar-applique-rear-sill~4708433.html
,4708250,"END CAPS, Rear",,,,,,,"1992-95, Right",discontinued,,,/parts/mopar-end-cap-cap-rear-rt~4708250.html
,4708251,"END CAPS, Rear",,,,,,,"1992-95, Left",discontinued,,,/parts/mopar-rear-rt-end-cap~4708251.html
,5245544,"END CAPS, Rear",,,,,,,"1996, Right",discontinued,,,/parts/mopar-cap~5245544.html
,5245545,"END CAPS, Rear",,,,,,,"1996, Left",discontinued,,,/parts/mopar-cap~5245545.html
,4708022,"LABEL, Bar Warning",,,,,,,,discontinued,,,/parts/mopar-label-sport-bar-warning~4708022.html
,4708021,"LABEL, Exhaust Warning",,,,,,,,discontinued,,,/parts/mopar-label-exhaust-warning~4708021.html
,4708252,"RETAINER, Insulation, Right",,,,,,,,discontinued,,,/parts/mopar-retainer-insulation-rt~4708252.html
,4708253,"RETAINER, Insulation, Right",,,,,,,"RETAINER, Insulation, Left",discontinued,,,
,6504580,"SCREW and WASHER, M4.8x1.59x13.00",,,,20,1,,,available,5,3.93,/parts/mopar-screw-hex-flange-head-tapping~6504580.html
