ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4865561AG,WEATHERSTRIP Header and A pillar,,,,,,,,discontinued,,,/parts/mopar-w-strip-header-and-a-pillar~4865561ag.html
3,4865563AF,WEATHERSTRIP Front Door Opening,Left,,27,,,4865563AG,,discontinued,,,/parts/mopar-w-strip-front-door-opening~4865563af.html
3,5030096AB,WEATHERSTRIP Front Door Opening,Right,,29,,,5030096AF,,available,361,293.28,/parts/mopar-w-strip-front-door-opening~5030096ab.html
3,5030097AB,WEATHERSTRIP Front Door Opening,Left,,29,,,5030097AF,,available,380,309.07,/parts/mopar-w-strip-front-door-opening~5030097ab.html
4,4658673,PIN PUSH .150x.410,,,,2,1,,,available,8.55,5.94,/parts/mopar-pin~4658673.html
5,4865574AB,RETAINER Weatherstrip,,,,,,,,available,41,34.95,/parts/mopar-retainer-weatherstrip~4865574ab.html
6,6508056AA,SCREW M5x16,,,,,,,,available,6.45,3.93,/parts/mopar-screw~6508056aa.html
7,6508056AA,SCREW M5x16,,,,,,,,available,6.45,3.93,/parts/mopar-screw~6508056aa.html
8,4865577AB,RETAINER Weatherstrip,Left,,27,,,4865577AC,,available,46.75,39.55,/parts/mopar-retainer-weatherstrip~4865577ab.html
8,5030176AA,RETAINER Weatherstrip,Right,,29,,,5030176AB,,available,58,50.1,/parts/mopar-retainer-weatherstrip~5030176aa.html
8,5030177AA,RETAINER Weatherstrip,Left,,29,,,5030177AB,,available,58,50.1,/parts/mopar-retainer-weatherstrip~5030177aa.html
10,4865569AE,WEATHERSTRIP Folding Top Side Rail,,,,,,,Left Rear,available,140,112.8,/parts/mopar-w-strip-folding-top-side-rail~4865569ae.html
11,4865567AD,WEATHERSTRIP Folding Top Side Rail,,,,,,,Left Front,available,171,139.87,/parts/mopar-w-strip-folding-top-side-rail~4865567ad.html
15,4865953AA,"SEAL Floor Pan Trunk Pan Assy , Front",,,,,,,,available,20,16.31,/parts/mopar-seal-floor-pan~4865953aa.html
,5029443AB,SEAL B-Pillar B-Pillar to Frame,,,,2,1,5029443AC,,available,23.85,18.87,/parts/mopar-seal-b-pillar~5029443ab.html
,5029607AA,SEAL Foam Quater Panel to frame,,,,2,1,5029607AC,,available,7,5.94,/parts/mopar-seal-foam~5029607aa.html
