ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4865482AG,DECKLID,,,,,,4865482AI,,available,4350,3683.8,/parts/mopar-decklid~4865482ag.html
4,4763384AB,STRIKER Backlite,,,,,,4763384AD,,available,34.65,27.67,/parts/mopar-striker-backlite~4763384ab.html
5,6101651,SCREW Hex Head M6x1x16,,,,2,1,,,available,3.2,2.16,/parts/mopar-screw-hex-head~6101651.html
7,6100877,WASHER Flat M6,,,,4,1,,,discontinued,,,/parts/mopar-washer-flat~6100877.html
8,5029156AB,LATCH Decklid,,,,,,5029156AC,,discontinued,,,/parts/mopar-latch-decklid~5029156ab.html
9,6102396AA,SCREW AND WASHER Oval Head M6x1x25,,,,2,1,6101718,,available,9.2,6.41,/parts/mopar-screw-oval-head~6102396aa.html
10,4865619AB,HINGE Deck Lid,Left,,,,,,,discontinued,,,/parts/mopar-hinge-deck-lid~4865619ab.html
11,4865981AA,PROP Deck Lid,,,,2,1,4589610AA,,available,32.55,26.45,/parts/mopar-prop-deck-lid~4865981aa.html
12,6101636,SCREW AND WASHER Hex Head M8x1.25x25,,,,6,1,,,available,10.85,7.51,/parts/mopar-screw-hex-head~6101636.html
14,5029136AA,ISOLATOR Decklid,,,,,,,,discontinued,,,/parts/mopar-isolator-decklid~5029136aa.html
15,5029232AA,BUMPER Deck Lid Overslam,,,,2,1,,,discontinued,,,/parts/mopar-stop-bmpr-deck-lid-overslam~5029232aa.html
16,5256749,BUMPER Deck Lid Adjuster,,,,2,1,,,discontinued,,,/parts/mopar-bumper-deck-lid-adjuster~5256749.html
17,6035625,SCREW [.190-16x.750],,,,3,1,,,available,18,12.52,/parts/mopar-screw-tapping~6035625.html
18,4865876AA,BRACKET Key Cylinder,,,,,,,,discontinued,,,/parts/mopar-bracket-key-cylinder~4865876aa.html
19,5029349AC,WEATHERSTRIP Decklid,,,,,,5029349AD,,discontinued,,,/parts/mopar-w-strip-decklid~5029349ac.html
20,5029210AA,BRACKET Deck Lid Overslam,,,,2,1,,,discontinued,,,/parts/mopar-bracket-deck-lid-overslam~5029210aa.html
21,6034844,RIVET Blind .250x.375/.562,,,,4,1,68258407AA,,available,5.7,3.96,/parts/mopar-rivet-blind~6034844.html
22,5029179AA,BUMPER Hood,,,,6,1,,,available,8.75,7.57,/parts/mopar-stop-bmpr-hood~5029179aa.html
25,5029766AA,DEFLECTOR Air,,,,2,1,,,available,16.85,11.01,/parts/mopar-deflector-air~5029766aa.html
,4865778AA,BRACKET Deck Lid Striker Mounting,,,,,,,,discontinued,,,/parts/mopar-bracket-deck-lid-striker-mounting~4865778aa.html
,6505417AA,PUSH PIN,,,,6,1,,,available,12.75,8.91,/parts/mopar-pin~6505417aa.html
,5030590AA,SEAL Deck Lid,,,,2,1,,,discontinued,,,/parts/mopar-seal-deck-lid~5030590aa.html
