ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5035305AA,COVER Power Distribution Center,,,,,,,,available,73.45,59.46,/parts/mopar-cover-power-distribution-center~5035305aa.html
3,6102224AA,SCREW AND CONED WASHER Hex Head M5x0.80x20,,,,3,1,,,discontinued,,,/parts/mopar-screw-hex-head~6102224aa.html
4,5035181AD,BRACKET Power Distribution Center,,,,,,,,available,44,30.29,/parts/mopar-bracket-power-distribution-center~5035181ad.html
5,68209525AA,PULLER Fuse,,,,,,,,available,2.3,1.34,/parts/mopar-puller-fuse~68209525aa.html
,68209523AA,BREAKER Circuit,,,,,,,,discontinued,,,/parts/mopar-breaker-circuit~68209523aa.html
,6102075AB,FUSE J Case 20 AMP,,,,,,,,available,9.45,6.52,/parts/mopar-fuse-j-case~6102075ab.html
,4868007AB,FUSE J Case 30 AMP,,,,,,,,available,8.05,5.48,/parts/mopar-fuse-j-case~4868007ab.html
,4868008AB,FUSE J Case 40 AMP,,,,,,,,available,7.8,5.3,/parts/mopar-fuse-j-case~4868008ab.html
,ATM10,"FUSE Mini 10 AMP, Red",,,,,,,,available,3.7,2.5,/parts/mopar-fuse-mini~atm10.html
,ATM15,"FUSE Mini 15 AMP, Light Blue",,,,,,,,available,3.55,2.39,/parts/mopar-fuse-mini~atm15.html
,ATM2,"FUSE Mini 2 AMP, Gray",,,,,,,,available,4.8,3.26,/parts/mopar-fuse-mini~atm2.html
,ATM20,"FUSE Mini 20 AMP, Yellow",,,,,,,,available,3.7,2.5,/parts/mopar-fuse-mini~atm20.html
,ATM25,"FUSE Mini 25 Amp, Natural",,,,,,,,available,3.7,2.5,/parts/mopar-fuse-mini~atm25.html
,68209527AA,RELAY,,,,,,,,discontinued,,,/parts/mopar-relay~68209527aa.html
,68207357AA,RELAY Micro,,,,,,,,available,16.85,14.51,/parts/mopar-relay-micro~68207357aa.html
,68207353AA,SHUNT J Case Jumper,,,,,,,,discontinued,,,
,68207643AA,STUD Bolt B +,,,,,,,,available,1.9,0.63,/parts/mopar-stud-bolt~68207643aa.html
