ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5245359,PLATE Camshaft Thrust,,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,,discontinued,,,6.1 x 6.3 x 0.4 inches,0.60 Pounds,/parts/mopar-gear-camshaft-thrust~5245359.html
2,220800,SCREW Hex Head .312-18x.75,,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",2,1,,"181086, 180077",,discontinued,,,1.2 x 0.8 x 0.8 inches,0.50 Pounds,/parts/mopar-bolt~220800.html
3,4863827,CHAIN PACKAGE Timing,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,6.8 x 6.9 x 6.1 inches,3.60 Pounds,/parts/mopar-sprkt-pkg-timing~4863827.html
4,6034749,KEY Crankshaft Sprocket,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,6.8,4.6,0.8 x 0.3 x 0.2 inches,0.40 Pounds,/parts/mopar-key-woodruff~6034749.html
5,6024035,BOLT Hex Head .375-14x1.75,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,2.1 x 0.9 x 0.9 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6024035.html
6,6035558,SCREW Hex Flange Head .375-16x1.50,,1992-2005,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",9,1,,,,available,6.25,4.91,1.8 x 0.7 x 0.7 inches,0.90 Pounds,/parts/mopar-screw-hex-flange-head~6035558.html
7,4763745AB,GASKET Chain Case Cover,,2000-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,41.05,33.96,21.2 x 15.8 x 0.3 inches,0.90 Pounds,/parts/mopar-gasket-chain-case-cover~4763745ab.html
8,4763731AI,COVER Timing Case,,2001-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,19.9 x 19.7 x 8.3 inches,14.70 Pounds,/parts/mopar-cover-timing-case~4763731ai.html
9,5245135,SEAL Rear Main Crankshaft,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,65.2,45.38,1.9 x 1.9 x 0.3 inches,0.50 Pounds,/parts/mopar-seal-crankshaft-oil~5245135.html
