ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4708197,"LINE ASSEMBLY, Suction",,1992-95,,,,,,discontinued,,,/parts/mopar-line-assy-assy-a-c-suction~4708197.html
1,4728364,"LINE ASSEMBLY, Suction",,,,,,,"1/2"" (O-RING)",discontinued,,,
1,4740968,"LINE ASSEMBLY, Suction",,,,,,,8.0mm (O-RING),discontinued,,,
2,4723031,"LINE ASSEMBLY, Liquid",,,,,,,Line to Compressor (O-RING),discontinued,,,
2,4728364,"LINE ASSEMBLY, Liquid",,,,,,,Line to Evaporator (O-RING),discontinued,,,
2,4848164,"LINE ASSEMBLY, Liquid",,,,,,,"1996LINE ASSEMBLY, Liquid",discontinued,,,/parts/mopar-line-air-conditioning-liquid~4848164.html
3,4728364,"LINE ASSEMBLY, Discharge",,,,2,,,"O-RING, 1/2""",discontinued,,,
3,5245036,"LINE ASSEMBLY, Discharge",,,,,,,"1996LINE ASSEMBLY, Discharge",discontinued,,,
4,4708201,"DRIER, Receiver, w/Bracket",,,,,,,,discontinued,,,/parts/mopar-drier~4708201.html
5,4709099,"CLIP, 1/2""",,,,,,,,available,3.1,2.44,/parts/mopar-clip-discharge-line~4709099.html
6,4709097,"CLIP, 3/8""",,,,,,,,discontinued,,,
7,5264642,"CAP, Service Port",,,,2,1,68620804AA,,available,,6.55,/parts/mopar-cap-a-c-check-valve~5264642.html
8,4709098,"CLIP, 5/8""",,,,,,,,discontinued,,,
9,4708203,"SWITCH, Pressure, Dual",,,,,,,"VALVE, w/Switch, Tube and Harness (When Replaced by 4848672 also use 4709101 Harness)",discontinued,,,
10,4848583,"CONDENSER, w/Bushings",,,29,,,,,discontinued,,,
11,4708365,"HOSE, Drain",,,,,,,,discontinued,,,/parts/mopar-hose-drain~4708365.html
12,4709101,"HARNESS, Pressure Switch",,,,,,,,discontinued,,,/parts/mopar-harness-s-wiring-a-c~4709101.html
13,4709377,"BRACKET, Condenser Upper",,,,,,,,discontinued,,,/parts/mopar-bracket-air-conditioning-condenser~4709377.html
14,5264650,"DECAL, A/C System Spec.",,,,,,,,discontinued,,,/parts/mopar-decal-a-c-system-specification~5264650.html
