ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4848275,"LEVER ASSEMBLY, Parking Brake Complete",,1996,27,,,,,discontinued,,,
1,PS53SB4,"LEVER ASSEMBLY, Parking Brake Complete",,,27,,,,"1996, Bright Blue",discontinued,,,/parts/mopar-lever-parking-brake~ps53sb4.html
1,PS53SR1,"LEVER ASSEMBLY, Parking Brake Complete",,,27,,,,"1996, Red",discontinued,,,/parts/mopar-lever-park-brake~ps53sr1.html
1,PS53SX9,"LEVER ASSEMBLY, Parking Brake Complete",,,27,,,,"1996, Flat Black",discontinued,,,/parts/mopar-lever-parking-brake~ps53sx9.html
2,4763181,"CABLE ASSEMBLY, Parking Brake",,1996,,2,1,,,discontinued,,,/parts/mopar-cable-parking-brake~4763181.html
3,6031012,"SCREW, Hex Head Tapping",,,,2,,,,discontinued,,,
4,34201596,"BOLT, Pan Head Torx",,,,2,1,,,discontinued,,,/parts/mopar-bolt-pan-head~34201596.html
6,4643984,"GUIDE, Parking Brake Cable",,,,2,1,,,available,1.67,1.31,/parts/mopar-parking-brake-cable-guide~4643984.html
7,4643036,"REINFORCEMENT ASSEMBLY, Parking Brake Mounting",,,,,,,,discontinued,,,
8,6101362,"NUT and WASHER, Lever Mounting",,,,3,,,,discontinued,,,
9,4643320,"PANEL, Tunnel",,,,,,,,discontinued,,,/parts/mopar-panel-top-of-tunnel~4643320.html
