ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5014554AA,FASCIA Rear,,1998-2002,27; RT/10 Convertible,10 Cyl 8.0L,,,,,Primed,discontinued,,,76.4 x 14.2 x 16.0 inches,19.00 Pounds,/parts/mopar-fascia-rear~5014554aa.html
1,SV631RNAA,FASCIA Rear,,1998-2002,29; RT/10 Convertible,10 Cyl 8.0L,,,,,Red (Silver Stripes),discontinued,,,,,
1,SV631S6AA,FASCIA Rear,,1998-2002,29; RT/10 Convertible,10 Cyl 8.0L,,,,,Dark Quartz (Silver Stripes),discontinued,,,,,
1,SV631X3AA,FASCIA Rear,,1998-2002,29; RT/10 Convertible,10 Cyl 8.0L,,,,,Black (Silver Stripes),discontinued,,,,,
2,4763098,BUMPER Fascia Reinforcement,,"1999-2002, 1992-1996","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,74.4 x 31.5 x 22.9 inches,17.90 Pounds,/parts/mopar-bumper-fascia~4763098.html
6,6501941,NUT AND WASHER,,,,,4,,,,,discontinued,,,,,
8,6025335,SCREW,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,8,1,,,,discontinued,,,1.4 x 1.0 x 1.0 inches,0.70 Pounds,/parts/mopar-screw~6025335.html
9,6101448,NUT AND WASHER Hex Nut-Coned Washer M10 x 1.5,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,11.3,7.86,1.2 x 1.2 x 0.8 inches,0.40 Pounds,/parts/mopar-nut-hex-nut-coned-washer~6101448.html
14,5245791,RETAINER Rear Fascia,,1992-2000,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,22.2 x 3.2 x 0.3 inches,1.00 Pounds,/parts/mopar-retainer-rr-fascia~5245791.html
,5245077,ADAPTER Bumper Fascia with Brackets,Left,"2000-2002, 1997","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,7.4 x 7.1 x 2.7 inches,1.90 Pounds,/parts/mopar-adapter-bumper-fascia~5245077.html
,4763373,FOAM AND TAPE Fascia,,"2000-2002, 1998, 1992-1996","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,55.8 x 7.9 x 5.7 inches,2.20 Pounds,/parts/mopar-absorber-fascia~4763373.html
,4270974,LICENSE PLATE KIT,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,7.75,5.36,5.5 x 3.4 x 0.8 inches,0.50 Pounds,/parts/mopar-brkt~4270974.html
,4709085,SHIELD Heat,,"1998-2001, 1992-1996","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,25.7 x 20.9 x 0.2 inches,0.80 Pounds,/parts/mopar-shield-heat~4709085.html
