ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4643670,"BUNDLE, Fuel Line, Tank to Chassis",,1992-95,,,,,,discontinued,,,/parts/mopar-bundle-fuel-line-f-tank-to-chassis~4643670.html
2,4643542,"LINE, Fuel Supply",,,,,,,,discontinued,,,
3,4643543,"LINE, Fuel Return, 1992-93",,,,,,,,discontinued,,,
4,4643544,"LINE, Fuel Vapor",,,,,,,,discontinued,,,
6,52020016,"FILTER, Fuel",,1992,,,,,,available,40.19,31.1,/parts/mopar-filter-asm-fuel~52020016.html
7,3404625,"CLIP, Fuel Return Line",,,,2,,,,discontinued,,,
8,4764000,"LINE, Chassis Fuel",,1996,,,,,,discontinued,,,/parts/mopar-tube-fuel~4764000.html
9,52017741,"CLIP, Fuel Bundle",,,,,,,,discontinued,,,/parts/mopar-clip-fuel-bundle~52017741.html
10,2207919,"CLIP, Fuel Line",,,,3,1,,,available,6.75,5.31,/parts/mopar-clip-parking-brake-cable~2207919.html
11,6035135,"SCREW, Fuel Line Clip, (.250-14x.875)",,,,3,1,,,discontinued,,,/parts/mopar-screw~6035135.html
