ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5269988AA,RELAY Mini,,,,,,68382350AA,,available,20.75,15.26,/parts/mopar-relay-micro~5269988aa.html
2,ATM10,"FUSE Mini 10 AMP, Red",,,,2,1,,,available,3.7,2.5,/parts/mopar-fuse-mini~atm10.html
3,ATM15,"FUSE Mini 15 AMP, Light Blue",,,,,,,,available,3.55,2.39,/parts/mopar-fuse-mini~atm15.html
4,ATM20,"FUSE Mini 20 AMP, Yellow",,,,,,,,available,3.7,2.5,/parts/mopar-fuse-mini~atm20.html
5,ATM25,"FUSE Mini 25 Amp, Natural",,,,,,,,available,3.7,2.5,/parts/mopar-fuse-mini~atm25.html
6,6102075AA,FUSE CARTRIDGE 20 Amp,,,,,,6102075AB,,available,9.45,6.52,/parts/mopar-fuse~6102075aa.html
7,4868007AA,FUSE CARTRIDGE 30 Amp,,,,,,4868007AB,,available,8.05,5.48,/parts/mopar-fuse~4868007aa.html
8,4868008AA,FUSE CARTRIDGE 40 Amp,,,,,,4868008AB,,available,7.8,5.3,/parts/mopar-fuse~4868008aa.html
12,56006709,RELAY Mini,,,,,,4727370AA,,available,39.9,27.67,/parts/mopar-relay-mini~56006709.html
,5029294AD,BRACKET Power Distribution Center,,,,,,,,discontinued,,,/parts/mopar-bracket-power-distribution-center~5029294ad.html
,5114019AB,COVER Power Distribution Center,,,,,,,,discontinued,,,/parts/mopar-cover-power-distribution-center~5114019ab.html
,6101757,FUSIBLE LINK,,,,2,1,,,available,18.2,12.64,/parts/mopar-fuse~6101757.html
