ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5290277AE,ARM Upper Control Front,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"5290277AA, 5290277AB, 5290277AC",Front Left,discontinued,,,13.2 x 11.5 x 4.1 inches,5.00 Pounds,/parts/mopar-arm-upper-control~5290277ae.html
2,6030099,FITTING Ball Joint Zirc,,"2013-2015, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,83507064AB,,,discontinued,,,0.6 x 0.3 x 0.3 inches,0.40 Pounds,/parts/mopar-fitting-ball-joint~6030099.html
3,52006405,SEAL Ball Joint,,"2013-2017, 2008-2010, 2003-2006, 2001, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,2.9 x 2.9 x 1.8 inches,0.50 Pounds,/parts/mopar-seal-ball-joint~52006405.html
4,6502698,NUT Hex Flange Lock M14x2.00,,"2013-2017, 2008-2010, 1996-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.95,6.17,0.9 x 1.4 x 1.4 inches,0.50 Pounds,/parts/mopar-nut-hex-flange-lock~6502698.html
5,6502046,BOLT Suspension Upper Arm,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,7.7,6.35,4.1 x 0.7 x 0.7 inches,0.60 Pounds,/parts/mopar-bolt-suspension-upper-arm~6502046.html
6,6036525AA,BOLT Control Arm Cam,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,73.45,59.46,4.4 x 2.5 x 2.5 inches,0.80 Pounds,/parts/mopar-bolt-control-arm-cam~6036525aa.html
7,6506919AA,BOLT Hex Flange Head M14x2.00x130.00,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,2,1,6513389AA,,,available,16.9,11.65,5.8 x 1.0 x 1.0 inches,0.80 Pounds,/parts/mopar-bolt-hex-flange-head~6506919aa.html
8,6508274AA,NUT AND WASHER Hex M12x1.75,,2013-2017,"SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10",10 Cyl 8.4L,4,1,,6505291AA,,available,8.2,5.71,0.9 x 1.3 x 1.3 inches,0.50 Pounds,/parts/mopar-nut-hex~6508274aa.html
9,6036467AA,NUT Hex Lock .50-20,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,0.8 x 0.9 x 0.4 inches,0.60 Pounds,/parts/mopar-nut-hex-lock~6036467aa.html
10,6036469AA,WASHER Control Arm,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,12.05,10.14,1.8 x 1.7 x 0.2 inches,0.50 Pounds,/parts/mopar-washer-control-arm~6036469aa.html
