ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4709219,DOOR ASSEMBLY,,,,,,,After 4-20-93,discontinued,,,
2,4643884,SHIM,,,,,,,,discontinued,,,/parts/mopar-shim-fuel-filler-door~4643884.html
3,116000,NUT and WASHER,,1992-93,,,,,,discontinued,,,/parts/mopar-nut-hex~116000.html
4,4763838,"BUMPER, Fuel Filler Door (Serviced in Item #1)",,,,,,,"1994,95,96",discontinued,,,/parts/mopar-bumper-fuel-door~4763838.html
5,5255375,PLATE and SCREW ASSEMBLY,,,,,,,"1992-93, Up to 7-16-93",discontinued,,,
6,4708234,"LABEL, Fuel",,,,,,,,discontinued,,,/parts/mopar-label-fuel~4708234.html
7,52006629,"CAP ASSEMBLY, Non-Locking",,,,,,,,discontinued,,,/parts/mopar-cap-fuel-filler~52006629.html
10,4763684,"CAP, Fuel",,,,,,,,discontinued,,,
11,147113,"SCREW,.190-24x1.00",,,,4,1,,,discontinued,,,/parts/mopar-screw-cap-hd~147113.html
12,5245877,"SEAL, Trunk Closeout to Roof Filler",,,,,,,,discontinued,,,/parts/mopar-seal-truck-closeout~5245877.html
13,5245665,"SEAL, Fuel Filler",,,,,,,,discontinued,,,/parts/mopar-seal~5245665.html
14,4763476,"SHIELD, Fuel Filler Paint Chip",,,,,,,,available,8.75,7.57,/parts/mopar-shield-fuel-filler-door~4763476.html
,5245856,"DRAIN TUBE ROOF, Fuel Filler Pocket",,,,,,,,available,4.55,3.58,/parts/mopar-tube-drain~5245856.html
