ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4708034,WINDSHIELD GLASS and MOULDING ASSEMBLY,,,,,,,Before 4-20-93,discontinued,,,
1,4709116,WINDSHIELD GLASS and MOULDING ASSEMBLY,,,,,,,"After 4-20-93, w/Antenna",discontinued,,,
2,4709154,"FRAME ASSEMBLY, Windshield Surround",,,,,,,"COVER, Windshield Surround I/B Sunvisor Mounting, Right",discontinued,,,
2,4709155,"FRAME ASSEMBLY, Windshield Surround",,,,,,,"COVER, Windshield Surround I/B Sunvisor Mounting, Left",discontinued,,,
2,GA81LX9,"FRAME ASSEMBLY, Windshield Surround",,1992-93,,,,,,discontinued,,,
2,HL02LX9,"FRAME ASSEMBLY, Windshield Surround",,,,,,,"1994, Up to 12-1-93",discontinued,,,
2,JK39PX9,"FRAME ASSEMBLY, Windshield Surround",,,,,,,"1994-95, After 12-1-93, Up to 9-6-94",discontinued,,,
2,ME34RX9,"FRAME ASSEMBLY, Windshield Surround",,,,,,,After 9-6-94,discontinued,,,
3,4643256,"MIRROR ASSEMBLY, Rear View (lighted)",,,,,,,,discontinued,,,
4,4054098,"BUTTON, Mirror",,,,,,,,discontinued,,,
5,6031094,SCREW,,,,,,,,discontinued,,,
6,4709346,"COVER, Toupette Attach, Right",,,,,,,,discontinued,,,
6,4709347,"COVER, Toupette Attach, Right",,,,,,,"COVER, Toupette Attach, Left",discontinued,,,
6,4762483,"COVER, Toupette Attach, Right",,,,,,,"Up to 4-28-93 (COVER KIT, Top Mounting Cover Repair)",discontinued,,,
6,4778549,"COVER, Toupette Attach, Right",,,,,,,"After 4-29-93 (COVER KIT, Top Mounting Cover Repair)",discontinued,,,/parts/mopar-cover-kit-top-mtg-cvr-repair~4778549.html
7,4643978,BACKLITE ASSEMBLY,,,,,,,1992-93-94,discontinued,,,
7,4709425,BACKLITE ASSEMBLY,,,,,,,"1995,96",discontinued,,,/parts/mopar-backlite~4709425.html
8,4848552,"SEAL, 'A' Pillar",Right,,,,,,,discontinued,,,/parts/mopar-w-s-surround-rt-a-pillar-s~4848552.html
8,4848553,"SEAL, 'A' Pillar",Left,,,,,,,discontinued,,,/parts/mopar-seal-w-s-surround-lt~4848553.html
,4864015,"INSTALLATION KIT, Windshield",,,,,,4864015AD,,available,113,51.01,/parts/mopar-instalpkg-windshieldglass~4864015.html
,4643847,SHIM,,,,,,,,available,2.2,1.28,/parts/mopar-shim-windshield~4643847.html
,GA75LX7,"STORAGE BAG, Backlite Assembly",,,,,,,,discontinued,,,/parts/mopar-bag-backlite~ga75lx7.html
