ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4865813AA,WEATHERSTRIP Liftgate Opening,,,,,,,,discontinued,,,/parts/mopar-w-strip-liftgate-opening~4865813aa.html
2,4642894,STRIKER Door Latch,,,,,,,,available,26.21,20.59,/parts/mopar-striker-door-latch~4642894.html
4,4642897,REINFORCEMENT Decklid Striker,,,,,,,,available,11.6,9.12,/parts/mopar-reinfmnt-decklid-striker~4642897.html
6,5029055AA,LATCH Decklid,,,,,,,,discontinued,,,
8,6100567,SCREW AND WASHER Hex Head M6x1x25,,,,2,1,,,available,9.3,6.47,/parts/mopar-screw-hex-head~6100567.html
10,6032723,SCREW Self Tapping M4.2x1.69x19.05,,,,6,1,,,available,9.15,6.35,/parts/mopar-screw-self-tapping~6032723.html
11,4643273,PLATE Decklid Cylinder,,,,,,,,discontinued,,,/parts/mopar-reinfmnt-decklid-cylinder~4643273.html
12,55013666,FOOTMAN LOOP Hold Down,,,,2,1,,,available,120,80.38,/parts/mopar-dr-check-hold-down~55013666.html
13,6034646,RIVET .197 Grip-.187-.375,,,,2,1,,,discontinued,,,/parts/mopar-retainer~6034646.html
,4848767,BRACKET Trunk Lamp Mounting,,,,,,,,discontinued,,,/parts/mopar-bracket-trunk-lamp-mounting~4848767.html
