ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,5093291AB,PAD KIT Disc Brake,,,,,,,,available,301,239.73,/parts/mopar-pad-disc-brake~5093291ab.html
2,5093303AA,CLIP Brake Caliper,,,,,,,,available,18.45,13.86,/parts/mopar-retainer-brake-caliper~5093303aa.html
3,5093301AA,PISTON KIT DISC BRAKE,,,,,,,"[BRF] Or [BR4], With [XS9], 38mm Diameter Pistons.[BRF] Or [BR4], With [XSP], 38mm Diameter Pistons.",available,101,65.65,/parts/mopar-piston-disc-brake~5093301aa.html
4,5093299AA,BOOT AND SEAL KIT Disc Brake,,,,,,,,available,28.15,22.66,/parts/mopar-seal-disc-brake~5093299aa.html
5,68192025AA,CALIPER ASSEMBLY Disc Brake Rear,,,,,,,"Left [BRF] Or [BR4], With [XS9]",available,589,387.62,/parts/mopar-caliper-disc-brake~68192025aa.html
5,68192028AA,CALIPER ASSEMBLY Disc Brake Rear,,,,,,,"Right [BRF] Or [BR4], With [XSP]",available,728,474.52,/parts/mopar-caliper-disc-brake~68192028aa.html
5,68192029AA,CALIPER ASSEMBLY Disc Brake Rear,,,,,,,"Left [BRF] Or [BR4], With [XSP]",available,741,482.22,/parts/mopar-caliper-disc-brake~68192029aa.html
6,6507587AA,SCREW Cap,,,,4,1,,,discontinued,,,/parts/mopar-screw-cap~6507587aa.html
7,5093297AA,BLEEDER SCREW Brake,,,,,,,,available,8.3,7.02,/parts/mopar-screw-brake~5093297aa.html
8,5093302AA,PIN KIT Disc Brake,,,,,,,,available,30.25,23.88,/parts/mopar-pin-disc-brake~5093302aa.html
11,68189419AA,KNUCKLE Rear,,,,,,5290124AH,Left Rear,available,4650,3063.5,/parts/mopar-knuckle-rear~68189419aa.html
12,6035642,SCREW AND WASHER Hex Head Locking .50-20x2.25 Grade 8,,,,4,1,,,discontinued,,,/parts/mopar-screw-hex-head-locking~6035642.html
13,52006404,SEAL Ball Joint,,,,,,,,available,43.8,30.41,/parts/mopar-seal-ball-joint~52006404.html
14,6030099,FITTING Ball Joint Zirc,,,,,,83507064AB,,discontinued,,,/parts/mopar-fitting-ball-joint~6030099.html
15,4848716,HUB AND BEARING Brake,,,,,,,,available,1020,666.6,/parts/mopar-hub-brake~4848716.html
16,4848171,GASKET,,,,,,,,discontinued,,,/parts/mopar-gasket~4848171.html
17,6033702,STUD Hub,,,,6,1,,,discontinued,,,/parts/mopar-stud-hub~6033702.html
18,5181462AB,ROTOR Brake,,,,,,,Right Rear [BR4],available,1345,866.8,/parts/mopar-rotor-brake~5181462ab.html
18,5290393AA,ROTOR Brake,,,,2,1,,"Rear [BRF], Right or Left",available,192,154.54,/parts/mopar-rotor-brake~5290393aa.html
19,6500336,PIN Cotter M5x36.00,,,,,,,,available,6.75,4.9,/parts/mopar-pin-cotter~6500336.html
20,4293167,NUT AND WASHER PACKAGE,,,,,,4293167AB,,available,25.75,17.94,/parts/mopar-lk-nutpkg~4293167.html
21,6502294,NUT Hex Flange M22x1.25,,,,,,,,available,12.4,8.56,/parts/mopar-nut-hex-flange~6502294.html
22,6502293,WASHER Flat M23x43x4,,,,,,,,available,8.15,5.59,/parts/mopar-washer-flat~6502293.html
,5290248AA,SENSOR Anti-Lock Brakes,,,,2,1,5290248AB,,available,163,108.73,/parts/mopar-sensor-anti-lock-brakes~5290248aa.html
,68211008AA,SHIM KIT Brake Rear,,,,,,,,discontinued,,,
