ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,1BW601X9AA,SEAT BELT Front,,,,,,,Right With [CGK],available,272,227.46,/parts/mopar-beltassy-front~1bw601x9aa.html
1,1BW611X9AA,SEAT BELT Front,,,,,,,Left With [CGK],available,316,262.03,/parts/mopar-beltassy-front~1bw611x9aa.html
1,UB651X9AF,SEAT BELT Front,,,,,,,Left Without [CGK],available,165,124.7,/parts/mopar-seatbelt-front~ub651x9af.html
2,5029127AC,TURNING LOOP Seat Belt,Left,,,,,5029127AD,,available,52.1,36.41,/parts/mopar-loop-seat-belt~5029127ac.html
3,6100583,SCREW AND WASHER Hex Head M8x1.25x25,,,,4,1,,,available,,14.51,/parts/mopar-screw-hex-head~6100583.html
4,6503571,SCREW AND WASHER M10x1.50x35,,,,4,1,6502467,,available,11.15,7.75,/parts/mopar-screw~6503571.html
5,6036512AA,SCREW Pan Head .437-20x1.375,,,,2,1,,,available,11.7,6.86,/parts/mopar-bolt-pan-head~6036512aa.html
6,6100583,SCREW AND WASHER Hex Head M8x1.25x25,,,,,,,,available,,14.51,/parts/mopar-screw-hex-head~6100583.html
7,5029290AA,PLATE Child Tether Anchor,,,,,,,,discontinued,,,/parts/mopar-plate-child-tether-anchor~5029290aa.html
8,TQ881X9AC,SEAT BELT Buckle Half,,,,,,,,discontinued,,,/parts/mopar-seat-belt-buckle-half~tq881x9ac.html
9,6036547AA,SCREW,,,,2,1,,,available,1.45,0.99,/parts/mopar-screw-hex-head~6036547aa.html
