ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,SG081X9AA,KNOB Gearshift,,,,,,,,discontinued,,,/parts/mopar-knob-gearshift~sg081x9aa.html
2,XP181X9AA,BEZEL Console Shifter,,,,,,,,discontinued,,,/parts/mopar-bezel-console-shifter~xp181x9aa.html
3,5029529AA,ASH RECEIVER Floor Console,,,,,,5108051AA,,available,92.2,62.38,/parts/mopar-ashtray-floor-console~5029529aa.html
5,124934,NUT Hex Jam .50-20,,,,,,,,available,8.75,6.06,/parts/mopar-nut-hex-jam~124934.html
7,5037319AA,BOOT Gearshift,,,,,,5038653AA,,discontinued,,,/parts/mopar-boot-gearshift~5037319aa.html
9,4709410,ISOLATOR Shift Lever,,,,,,,,discontinued,,,/parts/mopar-handle-shift-lever~4709410.html
11,XP191BNAA,BOOT Gearshift,,,,,,,With [JND],available,137.69,108.21,/parts/mopar-boot-gearshift~xp191bnaa.html
11,XP191XRAA,BOOT Gearshift,,,,,,,Without [JND],discontinued,,,/parts/mopar-boot-gearshift~xp191xraa.html
12,XP201X9AA,BOOT Parking Brake Lever,,,,,,,,available,218,142.88,/parts/mopar-boot-parking-brake-lever~xp201x9aa.html
14,5093230AA,RING,,,,,,,,discontinued,,,/parts/mopar-ring~5093230aa.html
16,4608633AD,SWITCH,,,,2,1,,,discontinued,,,/parts/mopar-switch-folding-top~4608633ad.html
17,5093227AA,HOUSING Switch,,,,,,,,discontinued,,,/parts/mopar-housing-switch~5093227aa.html
,5029097AD,BASE Cigar Lighter,,,,,,,,discontinued,,,/parts/mopar-lighter-cigar-lighter~5029097ad.html
,5093298AA,SCREW Cap,,,,,,,,discontinued,,,/parts/mopar-screw-cap~5093298aa.html
