ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5029226AA,LAMP Front Fog,,2003,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,2,1,,,,discontinued,,,8.5 x 7.4 x 7.7 inches,1.50 Pounds,/parts/mopar-lamp-front-fog~5029226aa.html
4,5029228AA,BRACKET Fog Lamp,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,6.0 x 5.6 x 3.1 inches,0.50 Pounds,/parts/mopar-bracket-fog-lamp~5029228aa.html
7,4865485AC,HEADLAMP,Left,2003,SRT-10 Convertible,10 Cyl 8.3L,,,4865485AE,,,unavailable,831,710.22,20.7 x 19.1 x 9.2 inches,11.80 Pounds,/parts/mopar-headlamp~4865485ac.html
12,4865895AB,WIRING Headlamp Jumper,,2003,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,,,,discontinued,,,15.8 x 10.4 x 2.3 inches,0.70 Pounds,/parts/mopar-wiring-headlamp-jumper~4865895ab.html
,L0000194,BULB 194,,"2009-2010, 2003-2005","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,9421330,,available,9.35,6.52,0.8 x 2.0 x 4.3 inches,0.40 Pounds,/parts/mopar-bulb~l0000194.html
,L003157K,BULB 3157K,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,68604812AA,,,available,15.2,10.6,1.3 x 3.2 x 7.2 inches,0.60 Pounds,/parts/mopar-bulb~l003157k.html
,L004157NAK,BULB 4157 NAK,,"2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,68604854AA,,,available,7.55,5.07,2.5 x 2.3 x 1.6 inches,0.40 Pounds,/parts/mopar-bulb~l004157nak.html
,L0009145,BULB Fog Lamp 50 Watt,,"2009-2010, 2005-2006, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,36.5,24.8,1.9 x 2.0 x 4.5 inches,0.50 Pounds,/parts/mopar-bulb~l0009145.html
,L09005XSLL,BULB Headlamp,,"2009-2010, 2003-2006","27; ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,154846AA,High Beam,available,45.15,31.34,4.3 x 1.9 x 1.9 inches,0.50 Pounds,/parts/mopar-bulb-headlamp~l09005xsll.html
,4865941AA,BULB Headlamp,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,4865941AC,,Right or Left,available,428,283.21,3.2 x 3.8 x 7.1 inches,0.70 Pounds,/parts/mopar-bulb-headlamp~4865941aa.html
,P0009005EB,BULB Headlamp,,"2000-2003, 1997","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,Sylvania Lighting,discontinued,,,3.1 x 1.0 x 2.0 inches,0.50 Pounds,/parts/mopar-bulb-headlamp-eco-bright-9005~p0009005eb.html
,L002825W5W,BULB W10/5,,"2009-2010, 2003-2005","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"153625, L2825W5WLL, 68317490AA, 5104608AA, 5104648AA, MS820090",,available,10.7,7.46,0.8 x 2.0 x 4.4 inches,0.50 Pounds,/parts/mopar-bulb~l002825w5w.html
,153624,BULB W3W,,"2013-2017, 2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,9.95,6.93,0.3 x 0.4 x 0.9 inches,1.40 Pounds,/parts/mopar-bulb~153624.html
,4865822AA,PANEL Fog Lamp,,"2008-2009, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,4865822AB,,,available,22.8,17.65,10.0 x 6.8 x 0.1 inches,0.60 Pounds,/parts/mopar-panel-fog-lamp-access~4865822aa.html
,5029065AA,SOCKET Headlamp,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,21.1,18.41,4.9 x 1.6 x 1.5 inches,0.90 Pounds,/parts/mopar-socket-headlamp~5029065aa.html
