ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,SV29MX3AB,PANEL Roof,,,,,,,Black,discontinued,,,
1,SV29VA9AB,PANEL Roof,,,,,,,Dark Silver,discontinued,,,/parts/mopar-roof~sv29va9ab.html
2,4848907AA,SEAL Door,Left,,,,,,,unavailable,,,/parts/mopar-filler-door~4848907aa.html
3,5245858,SHIM,,,,,,,,available,3.88,3.05,/parts/mopar-shim~5245858.html
4,4848885AA,BRACKET Roof To Sport Bar,Left,,,,,,,available,5.92,4.65,/parts/mopar-bracket-roof-to-sport-bar~4848885aa.html
5,6101452,SCREW AND WASHER Hex Head M8x1.25x20,,,,5,1,,,available,8.1,5.65,/parts/mopar-bolt-hex-head~6101452.html
6,5245664,REINFORCEMENT Mounting,,,,4,1,,,discontinued,,,/parts/mopar-reinfmnt-mounting~5245664.html
7,4848685,BAR Sport,,,,,,,,discontinued,,,
8,4848790,SHIM Sport Bar Base Plate,,,,,,,,discontinued,,,/parts/mopar-shim-sport-bar-base-plate~4848790.html
10,4848905AB,COVER Roof to Door Surround,Left,,,,,,,discontinued,,,/parts/mopar-cover-roof-to-door-surround~4848905ab.html
11,6503825,NUT AND WASHER Hex Nut-Coned Washer M6 x 1.00,,,29,9,1,,M6x1.00,available,9.35,6.52,/parts/mopar-nut-hex~6503825.html
12,4848265,CABLE Roof To Sport Bar Mounting,,,,2,1,,,discontinued,,,/parts/mopar-cable-roof-to-sport-bar-mounting~4848265.html
13,5245640,REINFORCEMENT Mounting,,,,,,,,discontinued,,,/parts/mopar-reinfmnt-mounting~5245640.html
14,4848930AA,SEAL Enclosure To Body,,,,2,1,,,discontinued,,,/parts/mopar-seal-enclosure-to-body~4848930aa.html
15,4848929AA,SEAL Enclosure To Body,,,,2,,,,discontinued,,,
16,4848913AA,BRACKET Roof,Left,,,,,,,discontinued,,,/parts/mopar-bracket-roof~4848913aa.html
,5245853,NOZZLE Tube,,,,4,1,,,available,4.47,3.51,/parts/mopar-tube-tube~5245853.html
,6101916,NUT Hex Weld M8x1.25,,,,2,1,,,available,9.2,6.41,/parts/mopar-nut-hex-weld~6101916.html
,4848849AA,PLATE Sport Bar to Frame,,,,2,1,,,available,21.6,10.18,/parts/mopar-shim-sport-bar-to-frame~4848849aa.html
,4848768,SEAL,,,,4,1,,,discontinued,,,/parts/mopar-seal~4848768.html
,4848128,WASHER Sport Bar,,,,2,1,,,available,1.47,1.15,/parts/mopar-washer-sport-bar~4848128.html
