ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,4848681AB,PAN Floor,,,29,,,,,available,1031.79,810.82,/parts/mopar-pan-floor~4848681ab.html
4,4848591,EXHAUSTER Bodyside Aperture,,,,4,1,,,discontinued,,,/parts/mopar-exhauster-bodyside-aperature~4848591.html
6,6502688,SCREW AND WASHER Hex Head M10x1.5x70,,,,2,1,,,discontinued,,,/parts/mopar-screw-hex-head~6502688.html
7,4642900,ISOLATOR Rear Floor Pan To Frame,,,,4,1,,,discontinued,,,/parts/mopar-isolator-rear-floor-pan-to-frame~4642900.html
8,4848189,SPACER Floor Pan Isolator,,,29,2,1,,,available,5.98,4.7,/parts/mopar-spacer-floor-pan-isolator~4848189.html
9,4848868AA,SHIM Floor Pan Isolator,,,27,,,,One Inch,discontinued,,,/parts/mopar-shim-floor-pan-isolator~4848868aa.html
10,6503675,SCREW AND WASHER Hex Head M10x1.5x40,,,,2,1,,,available,11.35,8.91,/parts/mopar-screw-hex-head~6503675.html
12,4665288,ANCHOR Tie Down,,,,2,1,,,discontinued,,,/parts/mopar-anchor-tie-down~4665288.html
13,6034646,RIVET .197 Grip-.187-.375,,,,4,1,,,discontinued,,,/parts/mopar-retainer~6034646.html
14,4708256,PLATE Footman Loop,,,,2,1,,,discontinued,,,/parts/mopar-plate-footman-loop~4708256.html
15,4763477,CUSHION Trunk Pan,,,,2,1,,,discontinued,,,/parts/mopar-support-trunk-pan~4763477.html
16,4848865AA,PATCH Floor Pan Rear Corner,Left,,,,,,,discontinued,,,/parts/mopar-shield-floor-pan-rear-corner~4848865aa.html
,4848818AB,COVER Trunk Exhauster,,,,2,1,,,discontinued,,,/parts/mopar-exhauster-trunk-exhauster~4848818ab.html
,4848103,GASKET Fuel Pump Cover Plate,,,,,,,,discontinued,,,/parts/mopar-gasket-fuel-pump-cover-plate~4848103.html
,4848681,PAN Trunk,,,,,,,,discontinued,,,
,4848419,PLUG Floor Pan,,,,4,1,,,discontinued,,,/parts/mopar-plug-floor-pan~4848419.html
,4708168,STRAP Cargo Tie Down,,,,,,,,discontinued,,,/parts/mopar-strap-cargo-tie-down~4708168.html
