ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,WP74DX9AA,GRILLE Defroster,,,,,,,,available,55.15,46.54,/parts/mopar-grille-defroster~wp74dx9aa.html
2,4865546AA,DUCT Instrument Panel,,,,,,,,available,66.95,56.48,/parts/mopar-duct-instrument-panel~4865546aa.html
3,4865532AA,SUPPORT Instrument Panel,,,,,,,,available,1690,1429.45,/parts/mopar-support-instrument-panel~4865532aa.html
4,TS33DX9AD,PANEL Instrument Panel,,,,,,,,discontinued,,,/parts/mopar-panel-instrument-panel~ts33dx9ad.html
5,5GD76DX9AA,OUTLET Air Conditioning & Heater,,,,,,,,discontinued,,,/parts/mopar-outlet-air-conditioning-heater~5gd76dx9aa.html
6,1MA041XTAA,GLOVE BOX Opening Door,,,,,,1MA041T5AA,[XT],available,629,414.7,/parts/mopar-i-panel-instrument-lower~1ma041xtaa.html
6,1MA042XRAA,GLOVE BOX Opening Door,,,,,,1MA041XRAA,[XR],available,488,412.85,/parts/mopar-i-panel-instrument-lower~1ma042xraa.html
6,1MA04DX9AA,GLOVE BOX Opening Door,,,,,,,[X9],available,141,95.18,/parts/mopar-i-panel-instrument-lower~1ma04dx9aa.html
7,QN251XTAB,LATCH Glovebox Door,,,,,,,[XT],discontinued,,,
7,QN252XRAB,LATCH Glovebox Door,,,,,,,[XR],discontinued,,,
7,QN25DX9AB,LATCH Glovebox Door,,,,,,,[X9],discontinued,,,/parts/mopar-latch-glovebox-door~qn25dx9ab.html
8,QN26DX9,BEZEL Glove Box,,,,,,,,discontinued,,,/parts/mopar-bezel-glove-box~qn26dx9.html
14,1JU33AAAAA,BEZEL Instrument Panel Center,,,,,,,[X5] [JBE][X9] [JBE][XR] [JBE][XT][JBE],discontinued,,,/parts/mopar-bezel-instrument-panel~1ju33aaaaa.html
14,XT23DX9AA,BEZEL Instrument Panel Center,,,,,,,[X5][X9][XR][XT],available,604,487.3,/parts/mopar-bezel-instrument-panel~xt23dx9aa.html
15,WA87DX9AA,BEZEL Instrument Cluster,,,,,,,,unavailable,634,531.24,/parts/mopar-bezel-instrument-cluster~wa87dx9aa.html
16,1MA751T5AA,COVER Instrument Panel Steering Column Opening,,,,,,,[XT],discontinued,,,
16,1MA751XRAA,COVER Instrument Panel Steering Column Opening,,,,,,TQ81SR1AA,[XR],available,514,351.12,/parts/mopar-cover-instrument-panel~1ma751xraa.html
16,1MA75DX9AA,COVER Instrument Panel Steering Column Opening,,,,,,TQ81DX9AA,[X9],available,570,374,/parts/mopar-cover-instrument-panel~1ma75dx9aa.html
17,5029016AA,BRACKET Relay,,,,,,,,available,235,198,/parts/mopar-bracket-relay~5029016aa.html
,5029142AA,BIN Glove box,,,,,,,,available,241,195.75,/parts/mopar-bin-glove-box~5029142aa.html
,4524343,BUMPER Glove Box Door,,,,2,1,,,available,29,20.21,/parts/mopar-stop-bmpr-glove-box-door~4524343.html
,4865537AB,HINGE Glovebox,,,,,,,,available,54.65,46.83,/parts/mopar-hinge-glovebox~4865537ab.html
,4865536AA,PANEL Glove Box,,,,,,,,discontinued,,,/parts/mopar-panel-glove-box~4865536aa.html
,4678070,STRAP Glove Box,,,,,,,,available,13.75,10.74,/parts/mopar-strap-glove-box~4678070.html
